,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
44,45,83.0,866.3132530120482,116.87951807228916,1022.3855421686746,586.0,92.0,691.0,100.97666767486,12.549082038488296,145.1526683887303,50-3,50,2023-10-12,analyze_single_fitted_channel
45,46,86.0,807.0930232558139,115.59302325581395,957.0581395348837,636.0,73.0,607.0,91.34048593000638,13.446169945704296,148.42454465823295,50-3,50,2023-10-12,analyze_single_fitted_channel
46,47,34.0,556.1470588235294,106.91176470588235,924.5882352941177,402.0,86.0,560.0,51.73582917825176,12.286692100324077,170.94221893532583,50-3,50,2023-10-12,analyze_single_fitted_channel
47,48,55.0,770.8727272727273,111.81818181818181,998.9636363636364,647.0,83.0,665.0,29.23015537883907,14.826378101320152,136.83247403454058,50-3,50,2023-10-12,analyze_single_fitted_channel
0,1,43.0,313.4651162790698,94.34883720930233,1027.5813953488373,266.0,62.0,608.0,24.33042772658492,13.521531014404367,247.25396345572426,3,55,2023-10-12,analyze_single_fitted_channel
1,2,87.0,634.4827586206897,109.86206896551724,1012.5632183908046,547.0,87.0,568.0,44.46666375492388,12.220364023579943,181.8734371832796,3,55,2023-10-12,analyze_single_fitted_channel
3,4,118.0,597.1186440677966,108.3135593220339,1027.7796610169491,384.0,77.0,596.0,81.661264959414,13.479865180977457,208.38674669108698,3,55,2023-10-12,analyze_single_fitted_channel
4,5,63.0,328.8888888888889,97.07936507936508,970.5873015873016,270.0,72.0,582.0,26.853577758801002,11.735580936380444,239.5505470681607,3,55,2023-10-12,analyze_single_fitted_channel
5,6,47.0,601.3191489361702,109.04255319148936,1058.5744680851064,564.0,79.0,703.0,10.6433604975095,12.242161968027787,211.21500034182682,3,55,2023-10-12,analyze_single_fitted_channel
6,7,166.0,611.4638554216867,110.75903614457832,988.843373493976,436.0,71.0,603.0,107.08929061044796,15.475663258414812,195.16184089835903,3,55,2023-10-12,analyze_single_fitted_channel
8,9,82.0,556.5487804878048,108.02439024390245,1004.9024390243902,485.0,80.0,628.0,33.89839640750864,14.143839139491345,185.15673056116523,3,55,2023-10-12,analyze_single_fitted_channel
9,10,48.0,614.1875,115.3125,1029.2291666666667,513.0,91.0,651.0,27.06755149159229,13.20378141859369,184.372724797638,3,55,2023-10-12,analyze_single_fitted_channel
10,11,59.0,375.3220338983051,97.45762711864407,1006.5254237288135,339.0,72.0,623.0,23.42491841272705,13.004982140361784,218.15088511318928,3,55,2023-10-12,analyze_single_fitted_channel
12,13,133.0,357.2631578947368,96.78195488721805,974.984962406015,294.0,64.0,542.0,24.68931604702338,12.281374335835228,236.55211271411181,3,55,2023-10-12,analyze_single_fitted_channel
13,14,77.0,455.4805194805195,104.75324675324676,999.5454545454545,406.0,76.0,597.0,21.943025629026508,12.4255244673922,225.8479861963556,3,55,2023-10-12,analyze_single_fitted_channel
